
# Surface 0 of 1 surfaces

# Curve title: "y**2 - x*(x-1)*(x-2)*(x-3)*(x-4)*(x-5)*(x-6)/5"

# Contour 0, label:    0.003
2.7208722e+00 1.3426854e+00 3.0000000e-03 
2.7324750e+00 1.3209699e+00 3.0000000e-03 
2.7415208e+00 1.3026052e+00 3.0000000e-03 
2.7606647e+00 1.2625251e+00 3.0000000e-03 
2.7610873e+00 1.2616117e+00 3.0000000e-03 
2.7780123e+00 1.2224449e+00 3.0000000e-03 
2.7896996e+00 1.1944975e+00 3.0000000e-03 
2.7944910e+00 1.1823647e+00 3.0000000e-03 
2.8097917e+00 1.1422846e+00 3.0000000e-03 
2.8183119e+00 1.1191687e+00 3.0000000e-03 
2.8242749e+00 1.1022044e+00 3.0000000e-03 
2.8378600e+00 1.0621242e+00 3.0000000e-03 
2.8469242e+00 1.0343536e+00 3.0000000e-03 
2.8507896e+00 1.0220441e+00 3.0000000e-03 
2.8628913e+00 9.8196393e-01 3.0000000e-03 
2.8745090e+00 9.4188377e-01 3.0000000e-03 
2.8755365e+00 9.3818499e-01 3.0000000e-03 
2.8853381e+00 9.0180361e-01 3.0000000e-03 
2.8956667e+00 8.6172345e-01 3.0000000e-03 
2.9041488e+00 8.2724132e-01 3.0000000e-03 
2.9054944e+00 8.2164329e-01 3.0000000e-03 
2.9146698e+00 7.8156313e-01 3.0000000e-03 
2.9233864e+00 7.4148297e-01 3.0000000e-03 
2.9316443e+00 7.0140281e-01 3.0000000e-03 
2.9327611e+00 6.9566357e-01 3.0000000e-03 
2.9393377e+00 6.6132265e-01 3.0000000e-03 
2.9465618e+00 6.2124248e-01 3.0000000e-03 
2.9533345e+00 5.8116232e-01 3.0000000e-03 
2.9596557e+00 5.4108216e-01 3.0000000e-03 
2.9613734e+00 5.2935291e-01 3.0000000e-03 
2.9654878e+00 5.0100200e-01 3.0000000e-03 
2.9708570e+00 4.6092184e-01 3.0000000e-03 
2.9757788e+00 4.2084168e-01 3.0000000e-03 
2.9802531e+00 3.8076152e-01 3.0000000e-03 
2.9842800e+00 3.4068136e-01 3.0000000e-03 
2.9878594e+00 3.0060120e-01 3.0000000e-03 
2.9899857e+00 2.7339159e-01 3.0000000e-03 
2.9909891e+00 2.6052104e-01 3.0000000e-03 
2.9936674e+00 2.2044088e-01 3.0000000e-03 
2.9958993e+00 1.8036072e-01 3.0000000e-03 
2.9976849e+00 1.4028056e-01 3.0000000e-03 
2.9990240e+00 1.0020040e-01 3.0000000e-03 
2.9999168e+00 6.0120240e-02 3.0000000e-03 
3.0003632e+00 2.0040080e-02 3.0000000e-03 
3.0003632e+00 -2.0040080e-02 3.0000000e-03 
2.9999168e+00 -6.0120240e-02 3.0000000e-03 
2.9990240e+00 -1.0020040e-01 3.0000000e-03 
2.9976849e+00 -1.4028056e-01 3.0000000e-03 
2.9958993e+00 -1.8036072e-01 3.0000000e-03 
2.9936674e+00 -2.2044088e-01 3.0000000e-03 
2.9909891e+00 -2.6052104e-01 3.0000000e-03 
2.9899857e+00 -2.7339159e-01 3.0000000e-03 
2.9878594e+00 -3.0060120e-01 3.0000000e-03 
2.9842800e+00 -3.4068136e-01 3.0000000e-03 
2.9802531e+00 -3.8076152e-01 3.0000000e-03 
2.9757788e+00 -4.2084168e-01 3.0000000e-03 
2.9708570e+00 -4.6092184e-01 3.0000000e-03 
2.9654878e+00 -5.0100200e-01 3.0000000e-03 
2.9613734e+00 -5.2935291e-01 3.0000000e-03 
2.9596557e+00 -5.4108216e-01 3.0000000e-03 
2.9533345e+00 -5.8116232e-01 3.0000000e-03 
