
# Surface 0 of 1 surfaces

# Curve title: "y**2+ (x**3 + x + 1)*y +x**2 + x"

# Contour 0, label:    0.003
-1.5879828e+00 4.3798199e+00 3.0000000e-03 
-1.5890146e+00 4.3887776e+00 3.0000000e-03 
-1.5936653e+00 4.4288577e+00 3.0000000e-03 
-1.5983151e+00 4.4689379e+00 3.0000000e-03 
-1.6029642e+00 4.5090180e+00 3.0000000e-03 
-1.6076124e+00 4.5490982e+00 3.0000000e-03 
-1.6122598e+00 4.5891784e+00 3.0000000e-03 
-1.6165951e+00 4.6265500e+00 3.0000000e-03 
-1.6168967e+00 4.6292585e+00 3.0000000e-03 
-1.6213976e+00 4.6693387e+00 3.0000000e-03 
-1.6258978e+00 4.7094188e+00 3.0000000e-03 
-1.6303973e+00 4.7494990e+00 3.0000000e-03 
-1.6348962e+00 4.7895792e+00 3.0000000e-03 
-1.6393944e+00 4.8296593e+00 3.0000000e-03 
-1.6438921e+00 4.8697395e+00 3.0000000e-03 
-1.6452074e+00 4.8813910e+00 3.0000000e-03 
-1.6482911e+00 4.9098196e+00 3.0000000e-03 
-1.6526491e+00 4.9498998e+00 3.0000000e-03 
-1.6570066e+00 4.9899800e+00 3.0000000e-03 
-1.6613636e+00 5.0300601e+00 3.0000000e-03 
-1.6657201e+00 5.0701403e+00 3.0000000e-03 
-1.6700760e+00 5.1102204e+00 3.0000000e-03 
-1.6738197e+00 5.1446306e+00 3.0000000e-03 
-1.6744130e+00 5.1503006e+00 3.0000000e-03 
-1.6786357e+00 5.1903808e+00 3.0000000e-03 
-1.6828580e+00 5.2304609e+00 3.0000000e-03 
-1.6870799e+00 5.2705411e+00 3.0000000e-03 
-1.6913013e+00 5.3106212e+00 3.0000000e-03 
-1.6955225e+00 5.3507014e+00 3.0000000e-03 
-1.6997432e+00 5.3907816e+00 3.0000000e-03 
-1.7024320e+00 5.4162451e+00 3.0000000e-03 
-1.7039176e+00 5.4308617e+00 3.0000000e-03 
-1.7080111e+00 5.4709419e+00 3.0000000e-03 
-1.7121042e+00 5.5110220e+00 3.0000000e-03 
-1.7161971e+00 5.5511022e+00 3.0000000e-03 
-1.7202896e+00 5.5911824e+00 3.0000000e-03 
-1.7243818e+00 5.6312625e+00 3.0000000e-03 
-1.7284738e+00 5.6713427e+00 3.0000000e-03 
-1.7310443e+00 5.6964541e+00 3.0000000e-03 
-1.7325204e+00 5.7114228e+00 3.0000000e-03 
-1.7364907e+00 5.7515030e+00 3.0000000e-03 
-1.7404608e+00 5.7915832e+00 3.0000000e-03 
-1.7444306e+00 5.8316633e+00 3.0000000e-03 
-1.7484001e+00 5.8717435e+00 3.0000000e-03 
-1.7523695e+00 5.9118236e+00 3.0000000e-03 
-1.7563386e+00 5.9519038e+00 3.0000000e-03 
-1.7596567e+00 5.9853733e+00 3.0000000e-03 
-1.7602884e+00 5.9919840e+00 3.0000000e-03 
-1.7641412e+00 6.0320641e+00 3.0000000e-03 
-1.7679938e+00 6.0721443e+00 3.0000000e-03 
-1.7718461e+00 6.1122244e+00 3.0000000e-03 
-1.7756983e+00 6.1523046e+00 3.0000000e-03 
-1.7795503e+00 6.1923848e+00 3.0000000e-03 
-1.7834022e+00 6.2324649e+00 3.0000000e-03 
-1.7872538e+00 6.2725451e+00 3.0000000e-03 
-1.7882690e+00 6.2830575e+00 3.0000000e-03 
-1.7910235e+00 6.3126253e+00 3.0000000e-03 
-1.7947639e+00 6.3527054e+00 3.0000000e-03 
-1.7985040e+00 6.3927856e+00 3.0000000e-03 
-1.8022440e+00 6.4328657e+00 3.0000000e-03 
-1.8059839e+00 6.4729459e+00 3.0000000e-03 
-1.8097237e+00 6.5130261e+00 3.0000000e-03 
-1.8134633e+00 6.5531062e+00 3.0000000e-03 
-1.8168813e+00 6.5897208e+00 3.0000000e-03 
-1.8171936e+00 6.5931864e+00 3.0000000e-03 
-1.8208265e+00 6.6332665e+00 3.0000000e-03 
-1.8244593e+00 6.6733467e+00 3.0000000e-03 
-1.8280921e+00 6.7134269e+00 3.0000000e-03 
-1.8317247e+00 6.7535070e+00 3.0000000e-03 
-1.8353572e+00 6.7935872e+00 3.0000000e-03 
-1.8389896e+00 6.8336673e+00 3.0000000e-03 
-1.8426219e+00 6.8737475e+00 3.0000000e-03 
-1.8454936e+00 6.9053957e+00 3.0000000e-03 
-1.8462327e+00 6.9138277e+00 3.0000000e-03 
-1.8497628e+00 6.9539078e+00 3.0000000e-03 
-1.8532928e+00 6.9939880e+00 3.0000000e-03 
-1.8568227e+00 7.0340681e+00 3.0000000e-03 
-1.8603525e+00 7.0741483e+00 3.0000000e-03 
-1.8638822e+00 7.1142285e+00 3.0000000e-03 
-1.8674119e+00 7.1543086e+00 3.0000000e-03 
-1.8709415e+00 7.1943888e+00 3.0000000e-03 
-1.8741059e+00 7.2303015e+00 3.0000000e-03 
-1.8744608e+00 7.2344689e+00 3.0000000e-03 
-1.8778924e+00 7.2745491e+00 3.0000000e-03 
-1.8813239e+00 7.3146293e+00 3.0000000e-03 
-1.8847553e+00 7.3547094e+00 3.0000000e-03 
-1.8881867e+00 7.3947896e+00 3.0000000e-03 
-1.8916180e+00 7.4348697e+00 3.0000000e-03 
-1.8950492e+00 7.4749499e+00 3.0000000e-03 
-1.8984804e+00 7.5150301e+00 3.0000000e-03 

-9.6397284e-01 9.0180361e-01 3.0000000e-03 
-9.7873453e-01 9.4188377e-01 3.0000000e-03 
-9.8712446e-01 9.6486759e-01 3.0000000e-03 
-9.9280563e-01 9.8196393e-01 3.0000000e-03 
-1.0061761e+00 1.0220441e+00 3.0000000e-03 
-1.0157368e+00 1.0510341e+00 3.0000000e-03 
-1.0190821e+00 1.0621242e+00 3.0000000e-03 
-1.0313484e+00 1.1022044e+00 3.0000000e-03 
